Method of Travel,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
Trips by non-residents,1492214,1494480,1803565,2071471,2808944,3887483,4713420,4612427,3144439,2422569,1786974,2191785,1567317,1595707,760252,67654,86362,121524,141772,158664,147777,139916,127159,154246,120921,101655,123583,130634,140287,162940,258469,600982,671662
Trips by United States residents,1140166,1158358,1457330,1589192,2135005,2998407,3615631,3552265,2295325,1854059,1464188,1697726,1201690,1281300,610781,51042,72078,101607,113414,120824,112980,112513,98444,113887,86456,75398,95943,95634,113451,128447,194799,509669,518223
Automobile,806611,805902,1020931,1101722,1388131,1893736,2398407,2425518,1406559,1230244,1055140,1215682,867218,932270,447063,46596,66684,91515,100351,104725,99024,98267,83301,92245,73890,68340,90074,88798,105291,117143,155157,412186,393316
Same Day,496829,459416,580484,599670,703351,845491,979267,976838,730144,668570,604994,643004,522752,525123,271629,38833,53074,66120,69390,72164,72794,72862,61695,63352,57399,54403,69414,66724,74806,79555,82220,128133,133724
One or more nights,309782,346486,440447,502052,684780,1048245,1419140,1448680,676415,561674,450146,572678,344466,407147,175434,7763,13610,25395,30961,32561,26230,25405,21606,28893,16491,13937,20660,22074,30485,37588,72937,284053,259592
Plane,281378,298744,366667,403386,470254,685288,735103,666738,534797,442252,340349,412596,283023,294559,138668,2817,3710,8011,11028,14009,12296,12928,14112,20743,11487,6091,4450,5105,5625,8237,37113,90826,117621
Bus,39128,39675,45108,46621,88131,114612,127855,123154,83126,59635,45135,41530,37181,37815,14099,215,31,624,636,850,794,535,398,315,460,428,745,893,897,932,416,858,1874
"Train, boat and other methods",13049,14037,24624,37463,188489,304771,354266,336855,270843,121928,23564,27918,14268,16656,10951,1414,1653,1457,1399,1240,866,783,633,584,619,539,674,838,1638,2135,2113,5799,5412
Trips by all other countries residents,352048,336122,346235,482279,673939,889076,1097789,1060162,849114,568510,322786,494059,365627,314407,149471,16612,14284,19917,28358,37840,34797,27403,28715,40359,34465,26257,27640,35000,26836,34493,63670,91313,153439
Direct,245163,243855,240617,319152,419043,582097,705115,643668,538902,369145,215005,357992,261498,231874,103873,10652,8266,13434,21800,30589,28387,21146,22793,33855,29170,21028,22271,29276,20422,26483,52578,77690,133438
Via the United States,106885,92267,105618,163127,254896,306979,392674,416494,310212,199365,107781,136067,104129,82533,45598,5960,6018,6483,6558,7251,6410,6257,5922,6504,5295,5229,5369,5724,6414,8010,11092,13623,20001
Trips by Canadian residents,4356374,4001703,5450366,4983182,4714952,4271769,5179202,5885884,4512688,4294765,4129734,4376787,4430895,4289711,3258227,181085,195637,246682,287015,344846,324815,341256,325853,379325,425521,295857,305700,338383,363228,372046,535100,847856,788341
Returning from the United States,3035434,2836843,4004204,3816335,3743616,3491187,4310150,4766463,3634855,3504393,3286910,3383473,3069835,3073031,2237531,151775,169316,210824,233672,254258,250399,268993,252607,271069,264999,216261,256854,283318,311849,310858,393797,506130,474741
Automobile,2063363,1869144,2784103,2731040,2786491,2720577,3485774,3846307,2772407,2574795,2315884,2442218,2065642,2079991,1499820,137980,156865,192529,205358,214939,215963,224979,196626,207064,190852,182809,234939,256058,277305,276983,292950,328469,292857
Same day,1435823,1359950,1812672,1798662,1914019,1867992,2097930,2190481,1804922,1788430,1658140,1732203,1443415,1504735,804569,105493,135460,166794,176347,182150,190374,196937,169586,177221,162621,158894,200414,194550,206896,216022,219468,229752,226910
One or more nights,627540,509194,971431,932378,872472,852585,1387844,1655826,967485,786365,657744,710015,622227,575256,695251,32487,21405,25735,29011,32789,25589,28042,27040,29843,28231,23915,34525,61508,70409,60961,73482,98717,65947
Plane,904756,905637,1138388,985940,805734,638538,662300,739182,707125,815519,882499,853109,936866,928622,699131,10969,9573,16163,26156,36544,32322,42222,54473,62463,72649,32198,18870,23586,28189,25263,93199,170043,175704
Bus,52338,48808,59791,73448,87416,67004,75829,84655,74017,80067,70243,70217,53488,51138,26193,638,185,134,259,360,238,349,183,353,157,291,709,894,666,377,823,904,1362
"Train, boat and other methods",14977,13254,21922,25907,63975,65068,86247,96319,81306,34012,18284,17929,13839,13280,12387,2188,2693,1998,1899,2415,1876,1443,1325,1189,1341,963,2336,2780,5689,8235,6825,6714,4818
Returning from other countries,1320940,1164860,1446162,1166847,971336,780582,869052,1119421,877833,790372,842824,993314,1361060,1216680,1020696,29310,26321,35858,53343,90588,74416,72263,73246,108256,160522,79596,48846,55065,51379,61188,141303,341726,313600
Direct,1217950,1083765,1338359,1088243,894957,734410,824075,1044081,821701,745699,789229,937676,1271242,1136655,937516,26063,24405,33278,50081,87117,72132,68899,70180,102901,152093,72026,43884,48815,44123,55417,133625,326561,299638
Via the United States,102990,81095,107803,78604,76379,46172,44977,75340,56132,44673,53595,55638,89818,80025,83180,3247,1916,2580,3262,3471,2284,3364,3066,5355,8429,7570,4962,6250,7256,5771,7678,15165,13962
Total,5848588,5496183,7253931,7054653,7523896,8159252,9892622,10498311,7657127,6717334,5916708,6568572,5998212,5885418,4018479,248739,281999,368206,428787,503510,472592,481172,453012,533571,546442,397512,429283,469017,503515,534986,793569,1448838,1460003
